ID;language;definiendum;definition source;definition;
A1.0172;EN;kluftkarren;Monroe, 1970;"Kluftkarren : Type of Karren; joints enlarged by solution.";
A1.0172;SL;poklinasta škraplja;Gams et al., 1973;poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila.;
A1.0172;SL;strukturna škraplja;Gams et al., 1973;poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila.;
A1.0173;SL;porušena škraplja;Gams et al., 1973;porušena škraplja: Nastane s porušitvijo hrbtov med škrapljami. Podobno griža.;
A1.0174;SL;zaobljena škraplja;Gams et al., 1973;zaobljena škraplja: Škraplja z zaobljenimi žlebovi in vmesnimi hrbti zaradi vplivov talne odeje v sedanjosti ali preteklosti.;
A1.0175;SL;fosilna škraplja;Gams et al., 1973;fosilna škraplja: Z neprepustnimi sedimenti prekrita škraplja ali vsaka škraplja, ki ni v skladu s procesi v novem okolju.;
A1.0176;SL;ugrez;Gams et al., 1973;ugrez, grez: Vrtača ali manjša depresija v sipkih sedimentih, ki se ji pozna, da je nastala ali se poglobila z ugrezanjem.;
A1.0176;SL;grez;Gams et al., 1973;ugrez, grez: Vrtača ali manjša depresija v sipkih sedimentih, ki se ji pozna, da je nastala ali se poglobila z ugrezanjem.;
A1.0177;SL;dolasta uvala;Gams et al., 1973;dolasta uvala: Je izrazito podolgovata, dolu podobna vdolbina.;
A1.0178;SL;vrtačasta uvala;Gams et al., 1973;vrtačasta uvala: Sestavljajo jo zraščene razsežne vrtače.;
A1.0179;SL;viseča suha dolina;Gams et al., 1973;viseča suha dolina: Na krasu suha dolina, ki se kot odsekana končuje na pobočju.;
A1.0180;SL;skledasta vrtača;Gams et al., 1973;skledasta vrtača: V prečnem profilu je podobna skledi.;
A1.0181;SL;lijakasta vrtača;Gams et al., 1973;lijakasta vrtača: Je brez ravnega dna, pobočja pa se navzgor odpirajo.;
A1.0182;SL;kotlasta vrtača;Gams et al., 1973;kotlasta vrtača: Ima strme stene in ravnejše dno.;
A1.0183;SL;aluvialna vrtača;Gams et al., 1973;aluvialna vrtača: Vrtača, nastala v naplavinah.;
A1.0184;SL;skalna vrtača;Gams et al., 1973;skalna vrtača: Vrtača, katere dno in pobočje je skalnato.;
A1.0184;HR;stjenovita ponikva;Roglić, 1973;stjenovita ponikva  – ponikva čije su strane stjenovite ili prekrivene stjenovitim kršjem – v. ponikva.;
A1.0185;HR;aguada ;Vrbanac, 2013;"aguada : U krškom području Yukatana, plitka depresija, općenito veličine nekoliko hektara, u kojoj se
nakuplja voda u kišnoj sezoni. Obično se radi o jami nastaloj otapanjem i sa dnom koje je prirodno ili umjetno obloženo glinom.";
A1.0186;HR;alas ;Vrbanac, 2013 po Washburn, 1973;alas : Termokrška depresija strmih strana i ravna dna prekrivena travom u kojoj je došlo do lokalnog otapanja permafrosta.;
A1.0187;HR;banana jama;Vrbanac, 2013;banana jama : Izraz koji se koristi u Bahamima za jamu nastalu kolapsom plitke špilje formirane na vrhu nekadašnje više leće sa slatkom vodom. Jama se koristi za obradu posebnih uroda kao što su banane. ;
A1.0188;HR;dno;Vrbanac, 2013;dno : Dno uleknine s ponorom koje se nalazi neposredno uz sam ponor.;
A1.0189;HR;kavernozna stijena;Vrbanac, 2013;kavernozna stijena : Svaka stijena s brojnim šupljinama, ćelijama i velikim porama, npr., površina litice s brojnim plitkim udubljenjima nastalim kavernoznim trošenjem.;
A1.0191;HR;pukotinska špilja;Vrbanac, 2013;pukotinska špilja : Jaka šupljikavost u odnosu na širinu razvijena duž strmo nagnutih pukotinskih ravnina.;
A1.0192;HR;krški toranj;Vrbanac, 2013;krški toranj : Izolirano brdo sa strmim vertikalnim padinama na krškoj ravnici koja je često pokrivena aluvijalnim naslagama.;
A1.0193;HR;stožac;Vrbanac, 2013;stožac : Konični humak na krškom krajoliku.;
A1.0194;HR;vapnenačka špilja;Vrbanac, 2013;"vapnenačka špilja : Kako je vapnenac relativno topiv, on je najčešći tip stijene u kojem se špilje
mogu razviti.";
A1.0195;HR;paleokrška površina;Vrbanac, 2013;paleokrška površina : Nepravilna, valovita površina vapnenca puna rupa, formirana atmosferilijama i otapanjem meteorskom vodom.;
A1.0196;HR;kotao;Vrbanac, 2013;"kotao : Opći izraz za bilo koju rupu, jamu ili depresiju koja je prirodno nastala u zemlji (i često je
ispunjena vodom), a čiji oblik podsjeća na kotao ili zdjelu. Mogu biti promjera 2-8 m. ";
A1.0197;HR;randpolje;Vrbanac, 2013;"randpolje : Ravnica na rubu krškog područja zatvorena uzvisinama koja dobiva površinsku vodu iz
nekrškog područja. Voda se drenira kroz podzemne kanale u krškom području.";
A1.0198;HR;koridor otapanja;Vrbanac, 2013;koridor otapanja : Ravni jarak u kršu, obično oko 3-10 m širok. ;
A1.0199;HR;depresija otapanja;Vrbanac, 2013;depresija otapanja : Opći izraz za bazen otapanja koja se javlja u krškom terenu.;
A1.0200;HR;ploha otapanja;Vrbanac, 2013;"ploha otapanja : Gotovo ravna ploha, uglavnom oivičena uskim obrubom ili izdignutim
rubom, nastala na topivoj stijeni, kao što je vapnenac, progresivnim otapanjem kišnicom.";
A1.0201;HR;škarpa otapanja;Vrbanac, 2013;"škarpa otapanja : Škarpa formirana na višoj padini aktivnijim otapanjem nego u nižem području
ili podsijecanjem baze škarpe otapanjem.";
A1.0202;HR;vrtača otapanja;Vrbanac, 2013;"vrtača otapanja : Najčešći tip vrtače koja se povećava kada voda proširi pukotinu, ili njih
nekoliko, na površini topive stijene.";
A1.0203;HR;polumjesečasta škrapa;Vrbanac, 2013;polumjesečasta škrapa : Polumjesečasti džep otapanja na površini vapnenca promjera oko 30 cm. ;
A1.0204;HR;blato;Roglić, 1973;blato – narodni naziv za naplavne ravnice na kojima se dugo zadržava relativno plitka voda, te nisu pogodne za obrađivanje i prevladava hidrofilna vegetacija: Buško blato, Svitavsko blato, Mostarsko blato i dr. Neka blata su tunelskim odvodima pretvorena u “polja” (v.).;
A1.0205;HR;bočati izvor;Roglić, 1973;"bočati izvor – priobalski izvor bočate vode; objašnjava se aspiracijom morske vode, koju vrši pukotinsko protjecanje.";
A1.0206;HR;bunja;Roglić, 1973;"bunja – narodni naziv za malu udubinu i prolaz u kamenu, gdje se sklanjaju i provlače zvijeri; b. je i naziv za poljska (osobito u primorskim vinogradima) skloništa zidana od kamena radi zaklona ljudima i ostavljanja oruđa.";
A1.0207;HR;draga;Roglić, 1973;"draga – veoma raširen narodni naziv za udolinske oblike izmodelirane u klastičnim ili manje otpornim karbonatnim stijenama. Pored kopnenih oblika d. je raširena i kao naziv zaliva u sjeverozapadnom primorju, osobito kad se nastavlja udolinama u kopno, gdje d. susrećemo u više toponima: Baška draga; Limska draga i dr.";
A1.0208;HR;duliba;Roglić, 1973;duliba – naziv za prostrane udoline visokog Velebita. Redovito su dosta pošumljene, ali najniži dijelovi su, uglavnom zbog širenja pašnjaka, ogoljeni.;
A1.0209;HR;grižine;Roglić, 1973;grižine – udubine kojima su najedene plohe vapnenaca, sinonim za škrape.;
A1.0211;HR;polča;Roglić, 1973;ploča 1. dio pločastih vapnenaca kojima se pokrivaju kuće, a manji dijelovi služe za društvenu igru.2. p. se naziva i ravna ili blago nagnuta ploha vapnenca, što se odražava i u toponimima, npr. Rt. Ploča.;
A1.0212;HR;procjep;Roglić, 1973;procjep – pukotina između kompaktnijih vapnenaca, može biti različitih dimenzija.;
A1.0213;HR;pseudodolina;Roglić, 1973;"pseudodolina – reljefni element koji podsjeća na dolinu, npr. draga, udolina i sl., čest oblik u kršu. Nastao je procesima diferenciranog modeliranja; nema osobine doline koju je izmodelirala tekućica i ne može se povezati u dolinski sustav.";
A1.0214;HR;pukotina;Roglić, 1973;pukotina – sekundarna šupljina u stijeni, važna za gibanje voda i razvoj površinskog krškog reljefa i podzemlja.;
A1.0215;HR;strmac;Roglić, 1973;strmac – strme padine (preko 40°) koje su karakteristične za vapnence i kredu, jer su mehaničko trošenje i spiranje neznatni.;
A1.0216;HR;strug;Roglić, 1973;"strug – pojas blagih oblika i prohodan, izdužen u smjeru pružanja slojeva; uvjetovan manje otpornim vapnencima (npr. pločasti) ili drugim stijenama koje se lakše troše.";
A1.0217;HR;škrip;Roglić, 1973;"škrip – udubina u karbonatnim stijenama, osobito u čistim vapnencima; čini prijelaz između škrapa (v.) i japaga (v.). Duboka je do 4 m, široka do 1 m, obično izdužena duž pukotina. Škrip je često u dubljem dijelu prostraniji, što je posljedica zadržavanja snijega u višim krajevima ili ranije ispunjenosti tlom. Š. je nepopularan kod stanovništva, jer u njega upadaju sitna stoka i neoprezna djeca.";
A1.0218;HR;udolina;Roglić, 1973;udolina – izduženo udubljenje (v. draga), uvjetovano diferenciranim modeliranjem, zbog razlika u sastavu i građi.;
A1.0219;HR;dijaklaza;Roglić, 1973;dijaklaza – pukotina koja prosijeca slojeve pod različitim kutom na dijastrome (v.). D. omogućuje i usmjerava pukotinsko protjecanje voda i utječe na razvoj krša.;
A1.0220;HR;krški labirint;Vrbanac, 2013 po Brook in Ford, 1978;krški labirint : Krška zaravan ispresjecana koridorima otapanja.;
A1.0221;HR;kamenjara;Roglić, 1973;"kamenjara – gola stjenovita površina, na kojoj nema vegetacijskog pokrova; ovaj termin je posebno primjenjivan u geobotaničkoj literaturi.";
A1.0222;HR;vrtložni lonac;Roglić, 1973;vrtložni lonac – udubina koju voda pri padu izdubi u stjenovitom koritu, pokrećući vrtložasto blokove nanesenog kamenja i šljunka.;
A1.0223;HR;pod;Roglić, 1973;pod – narodni termin za stepeničaste ravne plohe, ne samo prirodnog već i umjetnog podrijetla. Podovi u kršu su redovito nastali rubnom korozijom (v.) ili diferenciranim spiranjem. P. susrećemo i u toponimima. U toponimima nekih naših krških krajeva susre ćemo i turcizam “tavan” (pl. tavani) u značenju pod ili ravnjak.;
A2.0001;EN;bedding-plane cave;Gillieson, 1996;bedding-plane cave - a cavity developed along a bedding-plane and elongate in cross-section as a result.;
A2.0001;EN;bedding-plane cave;Monroe, 1970;bedding-plane cave :  A passage formed along a bedding plane, especially when there is a difference in susceptibility to corrosion in the two beds.;
A2.0001;EN;bedding-plane cave;N.N.;The  term  bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane.;
A2.0001;SL;lezična jama;Gams et al., 1973;lezična jama: Jama, ki kaže jasne znake nastanka ob leziki.;
A2.0002;EN;cave;Gillieson, 1996;cave - a natural cavity in rock large enough to be entered by man. it may be water-filled. if it becomes full of ice or sediment and is impenetrable, the term applies but will need qualification.;
A2.0002;EN;cave;Gunn, 2004;Caves are natural museums, preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments.;
A2.0002;EN;cave;Knez et al., 2015;Caves are an important part of both the terrestrial and aquatic ecosystems in karst terrains, but are not the only components.;
A2.0002;EN;cave;Mihevc and Gabrovšek, 2012;Caves are natural underground laboratories where crystal growth processes can be directly observed.;
A2.0002;EN;cave;Mihevc, Prelovšek in Zupan Hajna, 2010;Caves are active or relict parts of the karst drainage system.;
A2.0002;EN;cave;Monroe, 1970;"cave :  A natural underground room or series of rooms and passages large enough to be entered by a man; generally formed by solution of limestone. ";
A2.0002;EN;cave;N.N.;A cave is an airfilled underground void, large enough to be examined in some way by man.;
A2.0002;EN;cave;White and Culver, 2012;Caves are natural subterranean cavities, fissures, and fragments of conduit systems that are accessible to human exploration.;
A2.0002;SL;jama;Kodre, 2015 po Williams, 1989;Jama je korozijska razpoka s premerom večjim od 5 – 15 milimetrov.;
A2.0002;SL;jama;Ropret, 2016;Jame so podzemni kanali , ki jih je izoblikovala tekoča voda s procesom korozije.;
A2.0002;SL;jama;Štembergar, 2016;Jame so podzemni kanali , ki jih je naredila skozi kras tekoča voda.;
A2.0002;SL;jama;Rajh, 2014 po Slovenska kraška terminologija, 1973;Slovenska kraška terminologija (1973) jamo definira kot prehodno podzemeljsko votlino, ki je lahko vodoravna ali navpična.;
A2.0002;SL;jama;Rajh 2014 po Stepišnik, 2011;Prvi jamo opredeljujejo kot vsako naravno votlino v kamnini, ki je prehodna človeku in je vsaj 10 m dolga ali globoka, drugi pa, da je jama naravna podzemna votlina v kamnini, ki je dovolj velika, da je prehodna za človeka.;
A2.0002;SL;jama;Hotić, 2013;Po Jamarski zvezi Slovenije je jama vsaka naravna votlina v kamnini, ki je prehodna človeku in je vsaj deset metrov dolga ali globoka.;
A2.0002;SL;jama;Urankar, 2007 po Slovenska kraška terminologija, 1973;Jame so najznačilnejši kraški pojav. V ožjem smislu je jama prehodna, pretežno horizontalna podzemna votlina, ravno nasprotno od brezna, ki je navpično.;
A2.0002;SL;jama;Urankar, 2007 po Gams, 2003;Jama je za človeka prehodna votlina v kraški kamnini. Glede na nastanek ločimo brezstropo, korozijsko, tektonsko, fosilno, obpobočno in podpobočno jamo.;
A2.0002;SL;jama;Ropret, 2016;Jame so podzemni kanali, ki jih je izoblikovala tekoča voda s procesom korozije.;
A2.0002;SL;jama;Štembergar, 2016;Jame so podzemni kanali, ki jih je naredila skozi kras tekoča voda.;
A2.0002;SL;jama;Gams et al., 1973;Jame so bivališča vil, divjih žena, ajdov, velikanov, pritlikavcev, divjakov in podobno.;
A2.0002;SL;jama;Gams et al., 1973;Beseda jama lahko pomeni vodoravno votlino ali pa brezno, ki se poglablja navzdol.;
A2.0002;SL;jama;Šušteršič in Knez, 1995;JAMA (KRAŠKA) - Vsaka naravna votlina v krasu, prehodna človeku. Po kriterijih katastra JZS naj bi bila vsaj 10 m dolga ali globoka. Če je manjša, mora biti jamarjem pomembna iz drugih razlogov. Ohlapen sinonim za kraško votlino. ;
A2.0002;SL;jama;Gams et al., 1973;"jama: V širšem pomenu prehodna podzemeljska votlina, ne glede na to, ali je vodoravna ali navpična (brezno). V ožjem smislu prehodna, pretežno horizontalna podzemeljska votlina; nasprotje brezna, ki je navpično. V splošni literaturi se rabi kraška jama, da ne bi prišlo do zamenjave z vdolbino na površju. V nekaterih slovenskih dialektih pomeni beseda jama brezno.";
A2.0002;HR;špilja;Vrbanac, 2013;špilja : 1 Prirodni podzemni otvoreni prostor. Općenito je povezan sa površinom kanalom dovoljno prostranim da može ući jedna osoba. Speleološki objekt čiji je prosječni nagib kanala manji od 45 stupnjeva u odnosu na horizontalu. Špilja može biti djelomično ili u cijelosti blokirana sedimentom ili ledom. Špilje se najčešće formiraju u vapnencu otapanjem ali se mogu formirati u mnogim drugim tipovima stijena i mnogim drugim procesima. 2 Špilji sličan objekt formiran umjetno. 3 Neformalno se špiljom može nazvati bilo koje sklonište ispod litice.;
A2.0002;HR;điot;Roglić, 1973;"jama – najimpresivnija udubina u kršu. Sastoji se od kanala razvijenog u okomitom smjeru i povezanog s drugim podzemnim šupljinama, te najčešće čini složeni sustav. Zajednička je osobina jama da im se ne vidi dno, zbog toga ulijevaju strah; narod ih izbjegava i dao im je redovito sadržajne nazive i povezao s legendama. J. su karakterističan oblik dubokog krša (v.) naših primorskih planina; na Velebitu se čuje i naziv “điot”. Otvor ili “ždrijelo” ima promjer i preko 10 m, a istražene su jame do 1000 m dubine; u Dinarskom kršu do 500 m. (Speleolozi su se 1993. godine u Lukinoj jami na Velebitu spustili do 1392 m dubine. – op. ur.) Ističući dubinu, čuju se narodni nazivi “bezdan” (otuda sl. brezno), “bezdanka”, “jama bezdanica” i “bezdenjača”, a to se dokazuje time što se ne čuje da je ubačen kamen pao na dno, već se izgubi šum u padu. Vodne jame su one u kojima je utvrđena prisutnost vode; jame su većinom suhe.";
A2.0002;HR;jama;Roglić, 1973;"jama – najimpresivnija udubina u kršu. Sastoji se od kanala razvijenog u okomitom smjeru i povezanog s drugim podzemnim šupljinama, te najčešće čini složeni sustav. Zajednička je osobina jama da im se ne vidi dno, zbog toga ulijevaju strah; narod ih izbjegava i dao im je redovito sadržajne nazive i povezao s legendama. J. su karakterističan oblik dubokog krša (v.) naših primorskih planina; na Velebitu se čuje i naziv “điot”. Otvor ili “ždrijelo” ima promjer i preko 10 m, a istražene su jame do 1000 m dubine; u Dinarskom kršu do 500 m. (Speleolozi su se 1993. godine u Lukinoj jami na Velebitu spustili do 1392 m dubine. – op. ur.) Ističući dubinu, čuju se narodni nazivi “bezdan” (otuda sl. brezno), “bezdanka”, “jama bezdanica” i “bezdenjača”, a to se dokazuje time što se ne čuje da je ubačen kamen pao na dno, već se izgubi šum u padu. Vodne jame su one u kojima je utvrđena prisutnost vode; jame su većinom suhe.";
A2.0002;HR;špilja;Roglić, 1973;"špilja – podzemna šupljina ili sustav šupljina u koje ne dopire ili se neznatno probija dnevna svjetlost (v. pećina), te je za njihovo istraživanje potrebno umjetno osvjetljenje. S. su izmodelirane korozijom i mehaničkom erozijom podzemnih voda. B. Gčze smatra da su spilje ograničene na čistije vapnence (preko 60 % kalcijeva karbonata).
za razliku od jama s. su jače razvijene u lateralnom smjeru. Etažna s. je raspoređena u dva ili više katova šupljina koji su međusobno veznim kanalima spojeni. Spiljski kompleks se sastoji iz raznovrsnih oblika: galerija ili hodnik je izdužena šupljina; dvorana ili sala je veliki spiljski prostor u čijem nastajanju znatan udio imaju urušavanja stropnih dijelova; kanali, rovovi i prolazi su uži i izduženi dijelovi, koji mogu biti spojni između većih šupljina ili se završavaju slijepo  – slijepi kanal ili rov. Pored glavnog izdvajaju se sporedni ili bočni kanali.
usku vezu među spiljskim šupljinama nazivamo lisičji prolaz. Često kroz uske prolaze struji zrak, što ukazuje da spajaju veće šupljine različitih termičkih osobina. Za protočne spilje su važni sifonski dijelovi (oblika slova U) koji su ispunjeni vodom, utječu na protjecanje i velika su zapreka u istraživanjima.
Na stranama spiljskih šupljina ima različitih grižina ili škrapa. Pored eforacijskih (v. eforacija) i evorzijskih (v. evorzija) udubina posebnu pažnju privlače stropne škrape, najčešće u obliku izvrnutih lonaca, za koje nema općeprihvaćenog objašnjenja. Dimnjak ili kamin je okomita udubina u stropu, a polica je stepeničasti prijelom na stranama spiljskih šupljina.
suha spilja je ona kroz koju voda ne protječe i nema vodom ispunjenih bazena. Kroz vodnu spilju voda protječe trajno ili periodski ili se zadržava u bazenima. Spiljsko jezero je u udubini gline ili onoj koja je cementirana sedrenom korom. Spiljska glina u različitim količinama prekriva dna spiljskih šupljina, a neke ogranke i sasvim ispunjava. Nastala je dekalcifikacijom (v.) na licu mjesta (autohtona) ili je transportirana iz jednog u drugi dio (parautohtona) ili je nanesena izvana (alo htona). Spiljski sedimenti obuhvaćaju cjelinu na slaga nataloženih u podzemnim šupljinama: sigaste tvore vine, urušene blokove, gline, naneseni šljunak i pijesak i sl.
kontaktna spilja je izmodelirana kombiniranim erozijsko-korozijskim procesom na dodiru karbonatnih stijena i klastične podloge ili između slojeva – slojna spilja. Ponorna spilja je vezana za ponor, a izvorska spilja za vrelo tekućice.
ukrašena spilja obiluje različitim sigastim tvorevinama (v.); aragonitna spilja je ukrašena slikovi tim konkrecijama aragonita (v.). Umrtvljena spilja je ona u kojoj nema protjecanja i prokapljivanja vode, a sigaste tvorevine se ne razvijaju. Ledena spilja je djelomično ispunjena i ukrašena ledenim tvorevinama (v. le denica). Vjetrenica (v.) je spilja na čijem ulazu su jaka zračna strujanja zbog temperaturnih razlika u spilji (hladnije) i vani; ima i naziva prema vjetru koji ojača zračno strujanje, npr. “jugovača”. Prema tome da li u spilja ma ima ili nema zračnih strujanja, dijelimo ih na aerološki dinamične i statične (v.); u toploj spilji su temperature više nego u okolici. Maglenica (v.) je spilja na čijem ulazu, zbog razlika u vlažnosti zraka i temperaturama, dolazi do kondenzacije vodene pare i stvaranja maglice. Plinska spilja je ona u kojoj je na kupljen neki plin (najčešće CO2), a ako je otrovan, daje joj se epitet zagušljiva. Morske spilje su djelomično potopljene morem i posebno su cijenjene zbog 
plavog refleksa sunčevog svjetla kroz morsku vodu i pojava prijeloma zraka svjetlosti. Fosilizirana spilja je ispunjena čvrstim materijalom, nanosom ili sigastim tvorevinama. Turistička spilja je uređena za javni i regulirani posjet.";
A2.0002;SL;speleološki objekt;Šušteršič in Knez, 1995;speleološki objekt - Sinonim za individualno, človeku prehodno kraško votlino, modrejši izraz ja jamo. Dobesedno bi speleološki objekt pomenil raziskovalni predmet speleologije, vendar se v tem smislu ne uporablja. ;
A2.0003;EN;input caves;Temovski, 2014;Input caves are either shafts developed along faults and prominent fractures (Živovska Propast, Dragoželska Propast) or vadose canyons leading to epiphreatic tube passages (Aramiska Peštera, Garnikovska Propast, Mala Peštera and Pešti Cave).;
A2.0004;EN;microforms;Temovski, 2014 po Lauritzen and Lundberg, 2000;Smaller scale forms in caves (microforms) are features much smaller than the passage diameter.;
A2.0004;EN;smaller scale forms in caves;Temovski, 2014 po Lauritzen and Lundberg, 2000;Smaller scale forms in caves (microforms) are features much smaller than the passage diameter.;
A2.0005;HR;bezdan;Roglić, 1973;bezdan – narodni naziv za duboke jame ili “jame bezdanke” i “bezdenjače”. Pri padu predmeta ne čuje se udarac o dno, već se izgubi šum pa danja (v. jama).;
A2.0005;SL;jama;Gams et al., 1973;brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “brez dna”. V nekaterih kraških predelih Slovenije lj. jama. ;
A2.0005;SL;brezno;Gams et al., 1973;brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “brez dna”. V nekaterih kraških predelih Slovenije lj. jama. ;
A2.0005;EN;jamas;Bonacci, 1942 po Gospodarič, 1976;Jamas are shafts of greater dimensions, sinking deep into the carbonate massive.;
A2.0005;EN;jama;Monroe, 1970;jama :   Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England. ;
A2.0005;EN;pothole;Monroe, 1970;jama :   Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England. ;
A2.0005;EN;abime;Monroe, 1970;jama :   Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England. ;
A2.0005;HR;jama;Vrbanac, 2013;jama (pothole) : Izraz kojim se u Engleskoj označava vertikalno ili vrlo strmo okno u vapnencu. ;
A2.0005;EN;pothole;Monroe, 1970;pothole :  Term used in England for vertical or steeply inclined shaft in limestone. ;
A2.0006;EN;speleothem;Gillieson, 1996;speleothem - a secondary mineral deposit formed in caves, most commonly calcite.;
A2.0006;EN;speleothem;Monroe, 1970;speleothem :  A secondary mineral deposit formed in caves, such as stalactite or stalagmite. Synonym: cave formation.;
A2.0006;EN;speleothem;White and Culver, 2012;Mineral deposits take on the form of stalactites, stalagmites, flowstone, and other forms known collectively as speleothems.;
A2.0006;EN;speleothem;White and Culver, 2012;Speleothems are deposits of secondary minerals (such as calcite) that form on the ceilings, walls, and floors of caves.;
A2.0006;SL;speleotem;Šušteršič in Knez, 1995;speleotem - Produkt kateregakoli procesa, ki dovaja trdno fazo v kraško votlino in nadomešča speleogen. V ožjem smislu siga. ;
A2.0006;SL;sigova tvorba;Gams et al., 1973;sigova tvorba: Jamski sediment iz sige, nastal iz tekoče ali mirujoče vode. Glede na podobnost z rastlinami ločimo koralaste, čvetacne ali karfiolaste, gomoljaste itd. tvorbe.;
A2.0006;HR;špiljska tvorba;Vrbanac, 2013;špiljska tvorba : Mineral formiran u špiljama. Zastarjeli sinonim za sige.;
A2.0006;HR;speleothem;Roglić, 1973;speleothem – američki termin za cjelinu sigastih tvorevina.;
A2.0007;EN;aeolian cave;White and Culver, 2012;A typical aeolian cave is a bowl-shaped chamber carved in solid rock.;
A2.0008;EN;lava conduits;White and Culver, 2012;Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels.;
A2.0008;EN;pyroducts;White and Culver, 2012;Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels.;
A2.0008;EN;tubes;White and Culver, 2012;Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels.;
A2.0008;EN;tunnels;White and Culver, 2012;Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels.;
A2.0009;EN;sea cave;Gillieson, 1996;sea cave - a cave in present-day or emerged sea diffs, formed by wave attack or solution.;
A2.0009;EN;littoral cave;Gunn, 2004;Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines.;
A2.0009;EN;sea cave;Gunn, 2004;Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines.;
A2.0009;EN;sea cave;Klimchouk et al., 2014;Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action.;
A2.0009;EN;littoral cave;Klimchouk et al., 2014;Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action.;
A2.0009;EN;littoral cave;White and Culver, 2012;The precise scientific name is littoral cave, meaning a cave formed within the range of tides.;
A2.0009;EN;sea cave;White and Culver, 2012;Sea caves are caves that form by wave erosion in coastal areas that contain exposed bedrock.;
A2.0009;SL;abrazijska jama;Gams et al., 1973;morska jama, abrazijska jama: Leži na obali v nivoju morske gladine, tako da jo delno ali v celoti zaliva morska voda. Prim. Modra špilja na Biševu, Grotta azzurra pri Capriju. V širšem smislu vsaka jama, ki je nastala na obali zaradi abrazije (delovanja morskih valov).;
A2.0009;SL;morska jama;Gams et al., 1973;morska jama, abrazijska jama: Leži na obali v nivoju morske gladine, tako da jo delno ali v celoti zaliva morska voda. Prim. Modra špilja na Biševu, Grotta azzurra pri Capriju. V širšem smislu vsaka jama, ki je nastala na obali zaradi abrazije (delovanja morskih valov).;
A2.0009;HR;abrazijska pećina;Roglić, 1973;abrazijska pećina ili garma – udubina u stjenovitoj obali, izmodelirana abrazijskim djelovanjem valova, a u vapnencima i korozijom morske ili jezerske vode.;
A2.0009;HR;garma;Roglić, 1973;abrazijska pećina ili garma – udubina u stjenovitoj obali, izmodelirana abrazijskim djelovanjem valova, a u vapnencima i korozijom morske ili jezerske vode.;
A2.0009;HR;garma;Roglić, 1973;garma – narodni izraz, vjerojatno ilirskog podrijetla (P. Skok 1971), za procijepe i pećinske oblike u stjenovitim, uglavnom vapnenačkim obalama. G. su izmodelirane diferenciranom abrazijom i korozijom. Za manje oblike upotrebljava se i deminutivni oblik “garmica”.;
A2.0009;EN;sea cave;Monroe, 1970;"sea cave :  A cave or cleft in a sea cliff eroded by waves or currerts or dissolved by water. 
";
A2.0010;EN;flank-margin cave;Gunn, 2004;The caves are the world’s largest known examples of “flank-margin caves”, a type of cave that develops in carbonate coastlines as a result of sea-water and freshwater mixing inside the coastline.;
A2.0010;EN;flank margin cave;White and Culver, 2012;The flank margin caves are a series of oval rooms from pore size up to large chambers, which tend to be extensive in the horizontal direction, but limited in the vertical direction, a result of developing in the thinning margin of the freshwater lens;
A2.0010;HR;bočno-rubna špilja;Vrbanac, 2013 po Mylroie in Carew, 1990;"bočno-rubna špilja : Špilja razvijena nekanaliziranim tokom, unutar karbonatnog otoka ili
obalne linije, na rubu izlijevanja leće slatke vode. ";
A2.0011;EN;blue hole;Gunn, 2004;Blue holes are water-filled vertical openings in the carbonate rock of the islands, which exhibit complex morphologies, ecologies, and water chemistries.;
A2.0011;EN;blue hole;Gunn, 2004;Blue holes are the composite result of carbonate deposition and dissolution cycles, which have been controlled by glacial sea-level fluctuations.;
A2.0011;EN;blue hole;Gunn, 2004 po Mylroie et al., 1995;"The term “blue hole” has been used in a variety of ways, but they are best defined as: “subsurface voids that are developed in carbonate banks and islands; are open to the Earth’s surface; contain tidally influenced waters of fresh, marine, or mixed chemistry; extend below sea-level for a majority of their depth; and may provide access to submerged cave passages.";
